edit_history_tweet_ids,text,author_id,id,created_at,Unnamed: 0,link,user,likes,quotes,retweets,comments,cleaned_text
['1907465186132492346'],"4. “Shut Up, Woman!”

This whole “we are manly patriarchy dudes and it is a time of war so quit tone-policing us” thing is just a fancy way of ignoring what the Bible says about speech. 

Specifically, there is an attitude of rudeness and dismissiveness towards women that is just",122446833.0,1.91e+18,2025-04-02T16:08:34.000Z,,,,,,,,shut woman whole manly patriarchy dudes time war quit tonepolicing us thing just fancy way ignoring bible says speech specifically attitude rudeness dismissiveness towards women just
['1907465177685209285'],"1. The False Gospel of Patriarchy. 

Within patriarchal circles, a pattern has emerged that is one of emphasis and not of technical doctrine (yet). 

There is a consistent presentation of *the* problem of society being one of feminism. 

I don’t mean *a* problem of society.",122446833.0,1.91e+18,2025-04-02T16:08:32.000Z,,,,,,,,false gospel patriarchy within patriarchal circles pattern emerged one emphasis technical doctrine yet consistent presentation problem society one feminism dont mean problem society
['1907465086521774546'],Can’t wait to perform ROOM and bring Virginia Woolf to The Jack Studio. @VirginiaWoolfGB #virginiawoolf #Literature #Feminism https://t.co/nUSOHdw9XF,1.52e+18,1.91e+18,2025-04-02T16:08:10.000Z,,,,,,,,cant wait perform room bring virginia woolf jack studio
['1907465037331251411'],"@Nen_User404 @Blackdrug_ They hardly seem to be able to sense sufferings of those families, men and women. 
  They got Only one view, and that's patriarchy view😂 when most of them were struggling to make ends meet.",1.16e+18,1.91e+18,2025-04-02T16:07:58.000Z,,,,,,,,hardly seem able sense sufferings families men women got one view thats patriarchy view struggling make ends meet
['1907465010814574989'],I love how she goes “you can stop with the patriarchy thinkpieces” all the while a bra is like any sane woman’s Arch Nemesis https://t.co/bRUjO37Yc7,1.88e+18,1.91e+18,2025-04-02T16:07:52.000Z,,,,,,,,love goes can stop patriarchy thinkpieces bra like sane womans arch nemesis
['1907464991319756858'],"Again… there needs to be a version of Patriarchy that is culturally relevant to Black men the way Womanism was adapted for Black women.

Until that happens, folks aren’t even working with the same definition of terms",34752805.0,1.91e+18,2025-04-02T16:07:47.000Z,,,,,,,,needs version patriarchy culturally relevant black men way womanism adapted black women happens folks arent even working definition terms
['1907464975054209483'],Your ppl your bro think they’re the nicest guy. I think I smell obsessive patriarchy political issue in them.,7.67e+17,1.91e+18,2025-04-02T16:07:43.000Z,,,,,,,,ppl bro think theyre nicest guy think smell obsessive patriarchy political issue
['1907464854270578815'],@Dezdemonya @FAlRYHACHI Stop selling to male clients!!! Now! You’re enabling the patriarchy everytime you sell pussy!,1.33e+18,1.91e+18,2025-04-02T16:07:14.000Z,,,,,,,,stop selling male clients now youre enabling patriarchy everytime sell pussy
['1907464849128628611'],"@amitvrm036 @realsiff What do u expect from a show named people against patriarchy? Patriarchy is a feminist propoganda term, how will they talk about men's issues",1.79e+18,1.91e+18,2025-04-02T16:07:13.000Z,,,,,,,,u expect show named people patriarchy patriarchy feminist propoganda term will talk mens issues
['1907464749601673521'],Patriarchy brings us https://t.co/hFMlszzJ3d https://t.co/m1gh4EJO0V,1.14e+18,1.91e+18,2025-04-02T16:06:49.000Z,,,,,,,,patriarchy brings us
